mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.8200000000000001, factor_x_mud: 1, SKR: [2553732.04434335]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.8400000000000001, factor_x_mud: 1, SKR: [2610242.97887957]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.86, factor_x_mud: 1, SKR: [2664396.22653426]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.88, factor_x_mud: 1, SKR: [2714785.45599972]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.9, factor_x_mud: 1, SKR: [2758681.87640328]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.92, factor_x_mud: 1, SKR: [2790087.02294828]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.9400000000000001, factor_x_mud: 1, SKR: [2793116.96677532]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.9600000000000001, factor_x_mud: 1, SKR: [2710244.6935709]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.98, factor_x_mud: 1, SKR: [2134807.2011213]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.02, factor_x_mud: 1, SKR: [58249.77437295]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.04, factor_x_mud: 1, SKR: [116496.59970738]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.06, factor_x_mud: 1, SKR: [174739.81173978]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.08, factor_x_mud: 1, SKR: [232978.81291857]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.1, factor_x_mud: 1, SKR: [291213.01543698]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.12000000000000001, factor_x_mud: 1, SKR: [349441.81323561]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.13999999999999999, factor_x_mud: 1, SKR: [407664.56507644]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.16, factor_x_mud: 1, SKR: [465880.58151343]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.18, factor_x_mud: 1, SKR: [524089.11306772]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.19999999999999998, factor_x_mud: 1, SKR: [582289.3383229]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.22, factor_x_mud: 1, SKR: [640480.35116438]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.24, factor_x_mud: 1, SKR: [698661.14657323]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.26, factor_x_mud: 1, SKR: [756830.60443214]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.28, factor_x_mud: 1, SKR: [814987.47077255]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.30000000000000004, factor_x_mud: 1, SKR: [873130.33581226]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.32, factor_x_mud: 1, SKR: [931257.60800569]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.34, factor_x_mud: 1, SKR: [989367.48315212]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.36000000000000004, factor_x_mud: 1, SKR: [1047457.90736895]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.38, factor_x_mud: 1, SKR: [1105526.53242049]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.4, factor_x_mud: 1, SKR: [1163570.66147266]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.42000000000000004, factor_x_mud: 1, SKR: [1221587.18278313]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.44, factor_x_mud: 1, SKR: [1279572.48808369]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.46, factor_x_mud: 1, SKR: [1337522.3713919]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.48000000000000004, factor_x_mud: 1, SKR: [1395431.90259431]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.5, factor_x_mud: 1, SKR: [1453295.26821615]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.52, factor_x_mud: 1, SKR: [1511105.56909707]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.54, factor_x_mud: 1, SKR: [1568854.56087764]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.56, factor_x_mud: 1, SKR: [1626532.31772594]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.5800000000000001, factor_x_mud: 1, SKR: [1684126.79176281]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.6, factor_x_mud: 1, SKR: [1741623.22885091]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.62, factor_x_mud: 1, SKR: [1799003.38366315]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.64, factor_x_mud: 1, SKR: [1856244.44971685]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.66, factor_x_mud: 1, SKR: [1913317.57741413]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.68, factor_x_mud: 1, SKR: [1970185.78478134]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.7000000000000001, factor_x_mud: 1, SKR: [2026800.95323496]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.7200000000000001, factor_x_mud: 1, SKR: [2083099.41062674]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.74, factor_x_mud: 1, SKR: [2138995.27183924]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.76, factor_x_mud: 1, SKR: [2194370.10593249]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.78, factor_x_mud: 1, SKR: [2249056.36373372]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.8, factor_x_mud: 1, SKR: [2302809.75165711]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.8200000000000001, factor_x_mud: 1, SKR: [2355261.02853018]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.8400000000000001, factor_x_mud: 1, SKR: [2405827.16028348]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.86, factor_x_mud: 1, SKR: [2453536.19317149]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.98, desired_p_z_alice: 0.88, factor_x_mud: 1, SKR: [2496651.68672563]
